City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Dhidhdhoo,MV,6.8833,73.1,81.32,81,100,13.73,overcast clouds
123,Koslan,RU,63.4564,48.8989,32.0,94,100,6.85,overcast clouds
124,Vila Velha,BR,-20.3297,-40.2925,78.75,86,100,8.05,light rain
125,Rondonopolis,BR,-16.4708,-54.6356,94.5,43,21,2.21,few clouds
126,Mahibadhoo,MV,3.7833,72.9667,81.46,81,88,13.51,overcast clouds
127,Maniitsoq,GL,65.4167,-52.9,34.52,83,99,2.8,overcast clouds
128,East London,ZA,-33.0153,27.9116,70.74,83,0,12.66,clear sky
129,Termiz,UZ,37.2242,67.2783,60.89,63,20,2.3,few clouds
130,Valparaiso,CL,-33.0393,-71.6273,66.43,79,0,12.66,clear sky
131,Nosy Varika,MG,-20.5833,48.5333,73.85,80,10,12.66,clear sky
132,Harper,LR,4.375,-7.7169,80.26,81,94,7.18,overcast clouds
133,Ilulissat,GL,69.2167,-51.1,30.22,86,75,0.0,broken clouds
134,San Cristobal,VE,7.7669,-72.225,77.18,75,92,6.24,overcast clouds
135,Am Timan,TD,11.0297,20.2827,82.33,30,21,3.47,few clouds
136,Bodden Town,KY,19.2833,-81.25,87.93,76,20,12.66,few clouds
137,Krasnohrad,UA,49.3814,35.4402,49.62,78,57,5.93,broken clouds
138,Omboue,GA,-1.5746,9.2618,75.34,93,100,6.02,light rain
139,Utica,US,43.1009,-75.2327,63.34,83,86,6.76,overcast clouds
140,Ancud,CL,-41.8697,-73.8203,52.36,96,99,14.47,light rain
141,Qeshm,IR,26.9581,56.2719,87.67,61,0,10.76,clear sky
142,Mahanoro,MG,-19.9,48.8,74.07,79,39,11.54,scattered clouds
143,Jalu,LY,29.0331,21.5482,73.96,46,0,7.43,clear sky
144,Boende,CD,-0.2167,20.8667,77.13,81,82,2.33,broken clouds
145,Inongo,CD,-1.95,18.2667,77.07,82,99,11.74,light rain
