City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,Lorengau,-2.0226,147.2712,81.95,80,53,14.03,PG,2022-07-28 22:16:55
126,Harper,4.375,-7.7169,74.75,78,100,8.84,LR,2022-07-28 22:16:55
127,Victoria,22.2855,114.1577,87.33,81,93,3.0,HK,2022-07-28 22:14:45
128,Yellowknife,62.456,-114.3525,68.52,56,75,8.05,CA,2022-07-28 22:16:14
129,Boa Vista,2.8197,-60.6733,80.58,74,40,6.91,BR,2022-07-28 22:16:56
130,Yarada,17.65,83.2667,80.92,94,20,2.3,IN,2022-07-28 22:16:56
131,Ampanihy,-24.7,44.75,61.72,89,25,11.07,MG,2022-07-28 22:16:57
132,Taoudenni,22.6783,-3.9836,106.43,13,74,12.59,ML,2022-07-28 22:16:57
133,Torres,-29.3353,-49.7269,64.49,91,99,10.38,BR,2022-07-28 22:14:05
134,Mastung,29.7994,66.845,72.7,78,100,2.35,PK,2022-07-28 22:16:57
135,Bilma,18.6853,12.9164,87.13,48,100,22.75,NE,2022-07-28 22:13:23
136,Kavieng,-2.5744,150.7967,82.31,77,76,17.65,PG,2022-07-28 22:17:58
137,Carnarvon,-24.8667,113.6333,69.42,56,100,2.1,AU,2022-07-28 22:17:58
138,Cap Estate,14.0833,-60.95,82.06,74,40,10.36,LC,2022-07-28 22:17:58
139,Sydney,-33.8679,151.2073,53.31,69,20,17.27,AU,2022-07-28 22:14:44
140,Broken Hill,-31.95,141.4333,44.94,52,100,6.6,AU,2022-07-28 22:17:59
141,Shumyachi,53.8583,32.4242,54.07,82,5,2.82,RU,2022-07-28 22:17:59
142,Andenes,69.3143,16.1194,48.18,93,75,5.75,NO,2022-07-28 22:18:00
143,Eureka,40.8021,-124.1637,72.19,76,68,7.0,US,2022-07-28 22:13:22
144,Georgetown,5.4112,100.3354,80.53,89,20,4.61,MY,2022-07-28 22:16:58
145,Faya,18.3851,42.4509,69.91,52,100,3.36,SA,2022-07-28 22:18:00
146,Iqaluit,63.7506,-68.5145,55.13,58,75,5.75,CA,2022-07-28 22:18:00
147,Tiznit,29.5833,-9.5,72.39,60,0,2.15,MA,2022-07-28 22:18:01
148,Sol-Iletsk,51.1631,54.9918,66.09,77,5,4.34,RU,2022-07-28 22:18:01
149,Klaksvik,62.2266,-6.589,52.72,92,90,15.37,FO,2022-07-28 22:18:01
150,Narsaq,60.9167,-46.05,57.42,63,32,4.25,GL,2022-07-28 22:18:02
151,Luderitz,-26.6481,15.1594,53.55,88,62,1.54,NA,2022-07-28 22:18:02
152,Vaini,-21.2,-175.2,80.76,83,40,10.36,TO,2022-07-28 22:18:02
153,Gat,31.61,34.7642,84.4,76,0,4.72,IL,2022-07-28 22:17:04
154,Fairbanks,64.8378,-147.7164,63.23,56,75,11.5,US,2022-07-28 22:18:03
155,Barrow,71.2906,-156.7887,33.78,96,100,12.26,US,2022-07-28 22:18:03
