City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
422,Tukrah,LY,73.18,broken clouds,32.5341,20.5791,Lagrota restaurant
423,Mwinilunga,ZM,72.77,overcast clouds,-11.7358,24.4293,Kwakuwahi Lodge
425,Tarata,BO,75.07,few clouds,-17.6167,-66.0167,Hacienda castillo
430,Mola Di Bari,IT,75.52,scattered clouds,41.0609,17.0873,Hotel Gabbiano
434,Aleppo,SY,70.09,clear sky,36.25,37.5,أمل دوريش
435,Bhatkal,IN,76.12,clear sky,13.9667,74.5667,Nilawar Palace Lodge
445,Dzaoudzi,YT,78.69,few clouds,-12.7887,45.2699,Le Rocher
450,Maua,BR,78.6,scattered clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
461,Itabira,BR,78.46,overcast clouds,-19.6192,-43.2269,Premium Executive Hotel
463,Caravelas,BR,77.65,heavy intensity rain,-17.7125,-39.2481,Pousada dos Navegantes
469,Kilindoni,TZ,77.49,scattered clouds,-7.9139,39.6668,Bustani B&B
472,Hobyo,SO,79.81,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
478,Saint-Pierre,RE,73.9,few clouds,-21.3393,55.4781,Alize Plage
479,Sambava,MG,71.69,clear sky,-14.2667,50.1667,Melrose
481,Los Barrios,ES,76.84,clear sky,36.1848,-5.4921,Hotel Montera Plaza
483,Marsh Harbour,BS,79.66,few clouds,26.5412,-77.0636,Abaco Beach Resort
494,Libourne,FR,70.57,scattered clouds,44.9167,-0.25,Hôtel Mercure Libourne Saint-Émilion
495,Mitha Tiwana,PK,74.34,clear sky,32.2486,72.1108,Canal Rest House
498,Meulaboh,ID,79.47,overcast clouds,4.1363,96.1285,Kost Pria
505,Constantine,DZ,78.21,clear sky,36.365,6.6147,Grand Hotel Cirta
506,Moundou,TD,79.47,scattered clouds,8.5667,16.0833,Planete Life
511,Kralendijk,BQ,76.98,overcast clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
519,Dera Ghazi Khan,PK,75.27,clear sky,30.0561,70.6348,Hamlani Khosa Chowk
523,Benghazi,LY,73.6,few clouds,32.1167,20.0667,Tibesti Hotel
527,Waddan,LY,73.72,clear sky,29.1614,16.139,محل الشريف محمد العايب
535,Conceicao Da Barra,BR,76.19,light rain,-18.5933,-39.7322,Cricaré Praia Hotel
547,Miracatu,BR,79.07,broken clouds,-24.2814,-47.4597,Hotel Van Monet
562,Chicama,PE,72.52,broken clouds,-7.8447,-79.1469,Balihai Bungalows
564,Lipari,IT,71.33,few clouds,38.4674,14.954,Hotel Villa Augustus
566,Saint-Joseph,RE,71.98,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
574,Kant,IN,71.37,clear sky,27.8,79.8,Faheem Auto Service Centre
580,Ouesso,CG,75.22,broken clouds,1.6136,16.0517,ABENIE Hotel
583,Abu Kamal,SY,74.93,clear sky,34.4506,40.9171,البوكمال
586,Yenagoa,NG,79.38,moderate rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
589,Jaque,PA,79.56,moderate rain,7.5175,-78.1703,Aventuras Jaque S.A
592,Mananjary,MG,73.31,few clouds,-21.2167,48.3333,Vahiny Lodge
597,La Maddalena,IT,75.25,overcast clouds,41.2142,9.4083,Hotel Il Gabbiano
606,Goderich,CA,70.12,clear sky,43.7501,-81.7165,Harmony Inn
608,Linhares,BR,77.54,moderate rain,-19.3911,-40.0722,Hotel Conceição
611,Le Port,RE,74.25,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
616,Grand Baie,MU,73.87,clear sky,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
617,Dondo,MZ,78.31,few clouds,-19.6094,34.7431,Pensao Casual
624,Pachino,IT,72.05,clear sky,36.7186,15.0907,Il Veliero
628,Ambah,IN,72.79,clear sky,26.7075,78.2261,Dau Ki Kothi
632,Rania,IN,74.12,clear sky,29.5333,74.8333,Josan farm rania
634,Pemba,MZ,76.73,few clouds,-12.974,40.5178,Guesthouse Samotina
639,Marsabit,KE,74.35,broken clouds,2.3284,37.9899,Chicho Hotel
646,Do Gonbadan,IR,77.09,clear sky,30.3586,50.7981,مسافرخانه شادی
649,Loanda,AO,77.14,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
653,Bardiyah,LY,71.08,clear sky,31.7561,25.0865,بورتو بردية
657,Mahon,ES,73.96,clear sky,39.8885,4.2658,ARTIEM Capri
660,Rio Grande,BR,75.31,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
662,Safaga,EG,77.85,overcast clouds,26.7292,33.9365,Lamar Resort Abu Soma
671,Matara,LK,76.95,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
676,San Rafael,AR,76.6,clear sky,-34.6177,-68.3301,Hotel San Rafael
678,Nacala,MZ,75.7,clear sky,-14.5428,40.6728,Nacala Plaza Business Design Hotel
681,Srikakulam,IN,76.75,overcast clouds,18.3,83.9,Micro Systems
